Spectacle	Choreography	Decor	Costumes	Lightning	Music	Original cast	premiere date	First perf Location	place	coordinate location	Duration	Capsule (Y/N)
Unbalanced March	Merce Cunningham				Paul Hindemit	Merce Cunningham	30/11/38	Elks' Club	Seattle	47.60621,-122.33207	00:07:00	N
Jazz Epigram	Merce Cunningham				Ernst Toc	Merce Cunningham	30/11/38	Elks' Club	Seattle	47.60621,-122.33207		N
						Dorothy Herrmann						
Skinny Structures	Merce Cunningham				Alfredo Casell	Merce Cunningham	24/03/39	Cornish Theatre, Cornish School	Seattle	47.60621,-122.33207		N
					Darius Milhau	Syvilla Fort						
					Jean Wiene	Dorothy Herrmann						
					Felix Petyre							
Courante, Contagion 	Merce Cunningham				Zoe Williams	Merce Cunningham	10/08/39	Mills College	Oakland	37.8,-122.25	00:07:00	N
Renaissance Testimonials 	Merce Cunningham		Charlotte Trowbridge		Maxwell Power	Merce Cunningham	01/08/42	The Theatre, Bennington College	Bennington	42.8852043,-73.2131916	00:05:00	N
										42.87813,-73.19677		
Seeds of Brightness	Merce Cunningham		Charlotte Trowbridge		Norman Lloy	Merce Cunningham	01/08/42	The Theatre, Bennington College	Bennington	42.8852043,-73.2131916		N
						Jean Erdman				42.87813,-73.19677		
Credo in Us	Merce Cunningham		Charlotte Trowbridge		John Cage	Merce Cunningham	01/08/42	The Theatre, Bennington College	Bennington	42.8852043,-73.2131916		N
						Jean Erdman				42.87813,-73.19677		
Ad Lib	Merce Cunningham		Charlotte Trowbridge		Gregory Tucker	Merce Cunningham	01/08/42	The Theatre, Bennington College	Bennington	42.8852043,-73.2131916		N
					John Cage	Jean Erdman				42.87813,-73.19677		
Totem Ancestor 	Merce Cunningham		Charlotte Trowbridge		John Cage	Merce Cunningham	20/10/42	Humphrey-Weidman Studio Theatre	New York City	40.67,-73.94	00:03:00	Y
In the Name of the Holocaust 	Merce Cunningham		Merce Cunningham		John Cage	Merce Cunningham	14/02/43	The Arts Club of Chicago	Chicago	41.881944444444,-87.627777777778	00:06:00	N
Shimmera 	Merce Cunningham		Merce Cunningham		John Cage	Merce Cunningham	14/02/43	The Arts Club of Chicago	Chicago	41.881944444444,-87.627777777778	00:10:00	N
Triple-Paced 	Merce Cunningham		Merce Cunningham		John Cage	Merce Cunningham	05/04/44	Humphrey-Weidman Studio Theatre	New York City	40.67,-73.94	00:05:00	N
Root of an Unfocus 	Merce Cunningham		Merce Cunningham		John Cage	Merce Cunningham	05/04/44	Humphrey-Weidman Studio Theatre	New York City	40.67,-73.94	00:07:00	Y
Tossed As It Is Untroubled 	Merce Cunningham		Merce Cunningham		John Cage	Merce Cunningham	05/04/44	Humphrey-Weidman Studio Theatre	New York City	40.67,-73.94	00:02:30	N
Unavailable Memory Of, The 	Merce Cunningham		Merce Cunningham		John Cage	Merce Cunningham	05/04/44	Humphrey-Weidman Studio Theatre	New York City	40.67,-73.94	00:02:00	N
Spontaneous Earth 	Merce Cunningham		Merce Cunningham		John Cage	Merce Cunningham	05/04/44	Humphrey-Weidman Studio Theatre	New York City	40.67,-73.94	00:03:00	N
Four Walls	Merce Cunningham	Arch Lauterer	Arch Lauterer		John Cage	Patricia Birch	22/08/44	Perry-Mansfield Workshop	Steamboat Springs	40.476388888889,-106.82666666667	01:00:00	N
						Marlise Bok						
						Jean Cummings						
						Merce Cunningham						
						Leora Dana						
						Joan Frederiksen						
						Julie Harris						
						Betty Koerber						
						Connie Kuhni						
						George Lang						
						Patricia Lawrence						
						Fawn Pickett						
						Stanton Schumutz						
						Vivian Steinberg						
						Virginia Tanner						
						Martha Hindle						
