Nom	in	out
Adelaide Case	1952	1952
Alan Good	1978	1994
Albert Reid	1964	1968
Andrea Weber	2004	2011
Anita Dencks	1953	1955
Anneliese Widman	1950	1953
Ashley Chen	2000	2003
Banu Ogan	1993	2000
Barbara Lias	1972	1973
Barbara Lloyd	1963	1968
Betty Nichols	1949	1949
Brandon Collwes	2006	2011
Bruce King	1955	1958
Brynar Mehl	1972	1973
Carol Teitelbaum	1986	1993
Carolyn Brown	1953	1972
Catherine Kerr	1974	1988
Cédric Andrieux	1999	2007
Charles Moulton	1974	1976
Chase Robinson	1968	1972
Cheryl Therrien	1993	2003
China Laudisio	1993	1997
Chris Komar	1972	1996
Connie Kuhni	1944	1944
Cynthia Stone	1957	1958
Daniel Madoff	2007	2011
Daniel Roberts	2000	2005
Daniel Squire	1998	2009
David Kulick	1986	2000
Deborah Hay	1964	1964
Deborah Moscowitz	1953	1953
Dennis O'Connor	1986	1989
Derry Swan	1996	2004
Donald McKayle	1952	1952
Dorothy Berea	1947	1950
Douglas Dunn	1969	1973
Dylan Crossman	2009	2011
Ellen Cornfield	1974	1983
Emily Navar	1990	1991
Emma Desjardins	2006	2011
Emma Diamond	1988	1994
Ethel Brodsky	1953	1953
Fawn Pickett	1944	1944
François Canton	1950	1950
Frédéric (Foofwa d'Imobilité) Gafner	1991	1998
George Lang	1944	1944
Glen Rumsey	1993	1999
Greta Rosenzweig	1952	1952
Gus Solomons jr	1965	1968
Helaine Berley	1952	1952
Helen Barrow	1982	1993
Holley Farmer	1997	2009
Jamie Scott	2009	2011
Jared Phillips	1993	1998
Jean Cummings	1944	1944
Jean Erdman	1942	1943
Jean Freebury	1992	2003
Jeannie Steele	1993	2005
Jeff Slayton	1968	1970
Jenifer Weaver	1989	1996
Jennifer Goggans	2000	2011
Jim Self	1977	1979
Jo Anne Melsher	1952	1954
Joan Frederiksen	1944	1944
Joan Skinner	1952	1953
Joanne Finkelor	1952	1952
John Hinrichs	2009	2011
Jonah Bokaer	2000	2007
Joseph Lennon	1978	1984
Judith Dunn	1959	1963
Judith Martin	1947	1947
Judy Lazaroff	1981	1983
Julie Cunningham	2004	2011
Julie Harris	1944	1944
Julie Roess-Smith	1973	1977
Julie Walter	1950	1950
Karen Attix	1974	1976
Karen Radford	1983	1987
Karole Armitage	1975	1981
Katherine Litz	1946	1946
Kevin Schroder	1985	1986
Kimberly Bartosik	1987	1996
Koji Mizuta	1998	2009
Kristy Santimyer	1985	1989
Larissa McGoldrick	1987	1993
Leora Dana	1944	1947
Lisa Boudreau	1994	2008
Lisa Fox	1977	1980
Lise Friedman	1977	1984
Louise Burns	1970	1984
Louise Lippold	1948	1948
Mandy Kirschner	2000	2003
Marcie Munnerlyn	2004	2007
Marianne Preger-Simon	1950	1958
Marilyn Wood	1958	1963
Marlise Bok	1944	1944
Martha Hindle	1944	1944
Matthew Mohr	1994	2000
Meg Eginton	1977	1980
Meg Harper	1968	1977
Megan Walker	1980	1986
Mel Wong	1968	1972
Melissa Toogood	2008	2011
Michael Cole	1989	1998
Mili Churchill	1947	1951
Milorad Miskovitch	1949	1949
Morgan Ensminger	1975	1978
Naima Wallenrod	1952	1952
Nanette Hassall	1971	1972
Natanya Neumann	1952	1953
Neil Greenberg	1980	1986
Paige Cunningham	2000	2004
Patricia Birch	1944	1944
Patricia Lawrence	1944	1944
Patricia Lent	1984	1993
Paul Taylor	1953	1954
Peter Saul	1965	1967
Phyllis Backer	1952	1952
Rachel Rosenthal	1950	1950
Randall Sanderson	1990	1992
Rashaun Mitchell	2004	2011
Raymond Kurshals	1975	1976
Rob Remley	1978	1987
Robert Kovich	1973	1980
Robert Swinston	1980	2011
Robert Wood	1988	1991
Ronne Aul	1952	1952
Sandra Neels	1963	1973
Sara Hamill	1947	1948
Shareen Blair	1961	1964
Shirley Broughton	1944	1944
Silas Riener	2007	2011
Stanton Schumutz	1944	1944
Steve Paxton	1961	1964
Sudie Bond	1950	1952
Susan Emery	1977	1984
Susan Quinn	1981	1987
Susana Hayman-Chaffey	1968	1976
Tanaquil LeClerq	1949	1950
Thomas Caley	1993	2000
Timothy LaFarge	1953	1954
Ulysses Dove	1970	1973
Valda Setterfield	1961	1975
Victoria Finlayson	1984	1992
Viola Farber	1953	1970
Virginia Bosler	1946	1947
Virginia Tanner	1944	1944
Vivian Steinberg	1944	1944
Els Grelinger	1944	1944
Olga Lunick	1947	1947
Pat McBride	1950	1950
Diane Walters	1950	1950
William Davies	1963	1964
Yseult Riopelle	1966	1967
Remy Charlip	1950	1961
Karen Bell-Kanner	1957	1957
William Burdick	1958	1958
Dan Wagoner	1959	1959
Jack Moore	1960	1960
Niklas Ek	1966	1966
Edward Henkel	1971	1971
Krista Nelson	2010	2011
